experiment_run_id,manifest_id,source_git_commit,method,operational_index,episode_id,seed,decision_timestamp_ns,history_episode_ids,history_size,selected_skill,reason,compensation_alpha,retry_alpha,compensation_mean_utility,retry_mean_utility,probability_compensation_better,selected_predicted_accept_probability,verification_status,selected_accepted,alternative_accepted,any_candidate_accepted,harmful_transfer,missed_recoverable_abstention,probe_steps,verification_steps,total_additional_steps,current_outcome_read_after_decision
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,posterior_greedy,9,38,2237,163905665527300,"[10, 11, 20, 22, 23, 26, 28, 31]",8,INDEPENDENT_STOCHASTIC_RETRY,higher posterior mean action utility,"[2.0, 2.0, 3.0]","[3.0, 2.0, 2.0]",0.42857142857142855,0.5714285714285714,0.24245,0.42857142857142855,ACCEPTED,True,False,True,False,False,64,165,229,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,posterior_abstain,9,38,2237,163905669997400,"[10, 11, 20, 22, 23, 26, 28, 31]",8,ABSTAIN,posterior action utilities remain insufficiently separated,"[2.0, 2.0, 3.0]","[3.0, 2.0, 2.0]",0.42857142857142855,0.5714285714285714,0.23995,,NOT_EXECUTED,False,False,True,False,True,64,0,64,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,always_compensation,10,39,2238,163905674385100,"[10, 11, 20, 22, 23, 26, 28, 31, 38]",9,BOUNDED_PLANAR_COMPENSATION,fixed compensation baseline,"[6.0, 3.0, 3.0]","[1.0, 1.0, 1.0]",0.625,0.5,,0.5,ACCEPTED,True,False,True,False,False,64,89,153,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,always_retry,10,39,2238,163905674531900,"[10, 11, 20, 22, 23, 26, 28, 31, 38]",9,INDEPENDENT_STOCHASTIC_RETRY,fixed retry baseline,"[1.0, 1.0, 1.0]","[7.0, 2.0, 3.0]",0.5,0.6666666666666667,,0.5833333333333334,INCONCLUSIVE,False,True,True,True,False,64,500,564,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,accepted_only_last,10,39,2238,163905674630800,"[10, 11, 20, 22, 23, 26, 28, 31, 38]",9,INDEPENDENT_STOCHASTIC_RETRY,reuse most recent accepted selected intervention,"[2.0, 2.0, 3.0]","[4.0, 2.0, 2.0]",0.42857142857142855,0.625,,0.5,INCONCLUSIVE,False,True,True,True,False,64,500,564,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,posterior_greedy,10,39,2238,163905674704000,"[10, 11, 20, 22, 23, 26, 28, 31, 38]",9,INDEPENDENT_STOCHASTIC_RETRY,higher posterior mean action utility,"[2.0, 2.0, 3.0]","[4.0, 2.0, 2.0]",0.42857142857142855,0.625,0.16905,0.5,INCONCLUSIVE,False,True,True,True,False,64,500,564,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,posterior_abstain,10,39,2238,163905678714600,"[10, 11, 20, 22, 23, 26, 28, 31]",8,ABSTAIN,posterior action utilities remain insufficiently separated,"[2.0, 2.0, 3.0]","[3.0, 2.0, 2.0]",0.42857142857142855,0.5714285714285714,0.24685,,NOT_EXECUTED,False,False,True,False,True,64,0,64,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,always_compensation,11,41,2240,163905682687900,"[10, 11, 20, 22, 23, 26, 28, 31, 38, 39]",10,BOUNDED_PLANAR_COMPENSATION,fixed compensation baseline,"[7.0, 3.0, 3.0]","[1.0, 1.0, 1.0]",0.6538461538461539,0.5,,0.5384615384615384,ACCEPTED,True,True,True,False,False,64,70,134,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,always_retry,11,41,2240,163905682786500,"[10, 11, 20, 22, 23, 26, 28, 31, 38, 39]",10,INDEPENDENT_STOCHASTIC_RETRY,fixed retry baseline,"[1.0, 1.0, 1.0]","[7.0, 3.0, 3.0]",0.5,0.6538461538461539,,0.5384615384615384,ACCEPTED,True,True,True,False,False,64,83,147,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,accepted_only_last,11,41,2240,163905682854400,"[10, 11, 20, 22, 23, 26, 28, 31, 38, 39]",10,INDEPENDENT_STOCHASTIC_RETRY,reuse most recent accepted selected intervention,"[2.0, 2.0, 3.0]","[4.0, 3.0, 2.0]",0.42857142857142855,0.611111111111111,,0.4444444444444444,ACCEPTED,True,True,True,False,False,64,83,147,True
