experiment_run_id,manifest_id,source_git_commit,method,operational_index,episode_id,seed,decision_timestamp_ns,history_episode_ids,standardization_episode_ids,selected_skill,reason,compensation_mean_utility,retry_mean_utility,probability_compensation_better,selected_predicted_utility,observed_utility,verification_status,selected_accepted,alternative_accepted,any_candidate_accepted,harmful_transfer,missed_recoverable_abstention,probe_steps,verification_steps,total_additional_steps
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,contextual_abstain,6,12,2511,166402681744000,"[3, 7, 8, 9, 11]","[3, 7, 8, 9, 11]",INDEPENDENT_STOCHASTIC_RETRY,frozen alternating contextual exploration,0.49662965392108516,0.7951123929148627,0.47977828213829626,0.7951123929148627,1.0,ACCEPTED,True,True,True,False,False,64,71,135
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,always_compensation,7,16,2515,166402681988100,"[3, 7, 8, 9, 11, 12]",[],BOUNDED_PLANAR_COMPENSATION,fixed compensation baseline,0.7777777777777777,0.5,,0.7777777777777777,1.0,ACCEPTED,True,False,True,False,False,64,405,469
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,always_retry,7,16,2515,166402682077800,"[3, 7, 8, 9, 11, 12]",[],INDEPENDENT_STOCHASTIC_RETRY,fixed retry baseline,0.5,0.5555555555555556,,0.5555555555555556,0.0,REJECTED,False,True,True,True,False,64,500,564
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,accepted_only_last,7,16,2515,166402682151400,"[3, 7, 8, 9, 11, 12]",[],BOUNDED_PLANAR_COMPENSATION,frozen alternating exploration,0.6666666666666666,0.5833333333333334,,0.6666666666666666,1.0,ACCEPTED,True,False,True,False,False,64,405,469
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,posterior_greedy,7,16,2515,166402682221500,"[3, 7, 8, 9, 11, 12]",[],BOUNDED_PLANAR_COMPENSATION,frozen alternating exploration,0.6666666666666666,0.5833333333333334,,0.6666666666666666,1.0,ACCEPTED,True,False,True,False,False,64,405,469
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,contextual_greedy,7,16,2515,166402682290500,"[3, 7, 8, 9, 11, 12]","[3, 7, 8, 9, 11, 12]",BOUNDED_PLANAR_COMPENSATION,frozen alternating contextual exploration,0.7022113971367319,0.29491588975384875,0.5252876797035613,0.7022113971367319,1.0,ACCEPTED,True,False,True,False,False,64,405,469
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,contextual_abstain,7,16,2515,166402682535900,"[3, 7, 8, 9, 11, 12]","[3, 7, 8, 9, 11, 12]",BOUNDED_PLANAR_COMPENSATION,frozen alternating contextual exploration,0.7022113971367319,0.29491588975384875,0.5252876797035613,0.7022113971367319,1.0,ACCEPTED,True,False,True,False,False,64,405,469
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,always_compensation,8,17,2516,166402682764000,"[3, 7, 8, 9, 11, 12, 16]",[],BOUNDED_PLANAR_COMPENSATION,fixed compensation baseline,0.7999999999999999,0.5,,0.7999999999999999,1.0,ACCEPTED,True,True,True,False,False,64,268,332
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,always_retry,8,17,2516,166402682850300,"[3, 7, 8, 9, 11, 12, 16]",[],INDEPENDENT_STOCHASTIC_RETRY,fixed retry baseline,0.5,0.5,,0.5,1.0,ACCEPTED,True,True,True,False,False,64,89,153
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,accepted_only_last,8,17,2516,166402682926700,"[3, 7, 8, 9, 11, 12, 16]",[],INDEPENDENT_STOCHASTIC_RETRY,frozen alternating exploration,0.7142857142857142,0.5833333333333334,,0.5833333333333334,1.0,ACCEPTED,True,True,True,False,False,64,89,153
