noise_std,seed,success,steps,final_object_goal_distance,clipped_step_fraction,clipped_element_fraction
0.55,307,True,150,0.0479338452645421,0.5333333333333333,0.16666666666666666
0.55,308,True,61,0.04771599696895305,0.5901639344262295,0.16393442622950818
0.55,309,True,66,0.04736020217963167,0.5454545454545454,0.17045454545454544
0.6,300,False,500,0.373666359430573,0.316,0.0925
0.6,301,True,108,0.04672335274287087,0.5,0.16203703703703703
0.6,302,True,96,0.04888866139260448,0.5833333333333334,0.17447916666666666
0.6,303,False,500,0.29836750486233127,0.378,0.105
0.6,304,False,500,0.32863188580820163,0.334,0.096
0.6,305,True,124,0.0460697713299824,0.47580645161290325,0.16733870967741934
0.6,306,False,500,0.3471913013624153,0.38,0.111
0.6,307,True,150,0.0492824234480902,0.5466666666666666,0.17666666666666667
0.6,308,True,61,0.04781949858467375,0.639344262295082,0.18032786885245902
0.6,309,True,67,0.04621811259457585,0.582089552238806,0.19029850746268656
0.7,300,False,500,0.3569075320364061,0.48,0.148
0.7,301,True,114,0.04783224654599789,0.6140350877192983,0.20175438596491227
0.7,302,True,98,0.04985533263158791,0.6530612244897959,0.21683673469387754
0.7,303,False,500,0.3880346224483663,0.554,0.17
0.7,304,False,500,0.23103069894614417,0.572,0.1735
0.7,305,False,500,0.30958415999475475,0.51,0.157
0.7,306,True,185,0.048434336774641526,0.6216216216216216,0.19864864864864865
0.7,307,True,221,0.04946550368003567,0.583710407239819,0.19457013574660634
0.7,308,True,61,0.047779623097074064,0.6885245901639344,0.20491803278688525
0.7,309,True,69,0.04682859306919795,0.7246376811594203,0.2608695652173913
